input_type,algorithm,n,time_ms,comparisons,input_type_label,k_used,g_of_n,g_label,exact_comparison_model,time_ratio,comparison_ratio
random,Insertion Sort,100,0.002628,4687.0,Random,0,10000.0,n^2,2574.0,2.628e-07,1.820901320901321
random,Insertion Sort,1000,0.220626,491668.0,Random,0,1000000.0,n^2,250749.0,2.2062599999999998e-07,1.9607974508372914
random,Insertion Sort,10000,20.7553,49597352.0,Random,0,100000000.0,n^2,25007499.0,2.0755299999999998e-07,1.9832991695810924
random,Insertion Sort,100000,1732.0289,4991463405.0,Random,0,10000000000.0,n^2,2500074999.0,1.7320289e-07,1.996525467034599
reverse,Insertion Sort,100,0.004718,10099.0,Reversed,0,10000.0,n^2,2574.0,4.718e-07,3.9234654234654234
reverse,Insertion Sort,1000,0.4385,1000999.0,Reversed,0,1000000.0,n^2,250749.0,4.385e-07,3.992035860561757
reverse,Insertion Sort,10000,37.2872,100009999.0,Reversed,0,100000000.0,n^2,25007499.0,3.72872e-07,3.9992003598600565
reverse,Insertion Sort,100000,3448.407,10000099999.0,Reversed,0,10000000000.0,n^2,2500074999.0,3.448407e-07,3.99992000359986
nearly-sorted,Insertion Sort,100,0.000889,1788.0,Nearly Sorted,0,10000.0,n^2,2574.0,8.890000000000001e-08,0.6946386946386947
nearly-sorted,Insertion Sort,1000,0.006874,10410.0,Nearly Sorted,0,1000000.0,n^2,250749.0,6.874e-09,0.041515619204862235
nearly-sorted,Insertion Sort,10000,0.602749,1349234.0,Nearly Sorted,0,100000000.0,n^2,25007499.0,6.02749e-09,0.05395317620526547
nearly-sorted,Insertion Sort,100000,52.4902,129640926.0,Nearly Sorted,0,10000000000.0,n^2,2500074999.0,5.24902e-09,0.051854814776298636
many_duplicates,Insertion Sort,100,0.001324,2631.0,Many Duplicates,0,10000.0,n^2,2574.0,1.3240000000000002e-07,1.0221445221445222
many_duplicates,Insertion Sort,1000,0.207072,475661.0,Many Duplicates,0,1000000.0,n^2,250749.0,2.0707200000000002e-07,1.896960705725646
many_duplicates,Insertion Sort,10000,20.8231,49223559.0,Many Duplicates,0,100000000.0,n^2,25007499.0,2.08231e-07,1.968351933154131
many_duplicates,Insertion Sort,100000,1753.9681,4987704245.0,Many Duplicates,0,10000000000.0,n^2,2500074999.0,1.7539681000000002e-07,1.9950218481425646
random,Quick Sort,100,0.001512,1812.0,Random,0,664.3856189774724,n log2 n,647.8502585632034,2.275786767219698e-06,2.79694262068929
random,Quick Sort,1000,0.025273,24513.0,Random,0,9965.784284662088,n log2 n,10985.912662821787,2.5359770268052656e-06,2.2313121132808744
random,Quick Sort,10000,0.661494,339662.0,Random,0,132877.1237954945,n log2 n,155771.69593295906,4.97823839879374e-06,2.1805116646234857
random,Quick Sort,100000,7.538383,4408073.0,Random,0,1660964.0474436812,n log2 n,2018053.4062649268,4.538558803606859e-06,2.1843192981490973
reverse,Quick Sort,100,0.001005,1221.0,Reversed,0,664.3856189774724,n log2 n,647.8502585632034,1.5126757282115058e-06,1.8846947791730808
reverse,Quick Sort,1000,0.01931,18679.0,Reversed,0,9965.784284662088,n log2 n,10985.912662821787,1.937629738757159e-06,1.700268386732487
reverse,Quick Sort,10000,0.224929,254764.0,Reversed,0,132877.1237954945,n log2 n,155771.69593295906,1.6927593973675906e-06,1.635496092368701
reverse,Quick Sort,100000,2.510737,3219401.0,Reversed,0,1660964.0474436812,n log2 n,2018053.4062649268,1.5116142964467945e-06,1.5953001986991826
nearly-sorted,Quick Sort,100,0.001254,1335.0,Nearly Sorted,0,664.3856189774724,n log2 n,647.8502585632034,1.887458072813162e-06,2.0606613678919437
nearly-sorted,Quick Sort,1000,0.01936,18359.0,Nearly Sorted,0,9965.784284662088,n log2 n,10985.912662821787,1.9426469053515585e-06,1.671140174100419
nearly-sorted,Quick Sort,10000,0.335387,296642.0,Nearly Sorted,0,132877.1237954945,n log2 n,155771.69593295906,2.5240386788938915e-06,1.9043382574949215
nearly-sorted,Quick Sort,100000,4.050336,4098232.0,Nearly Sorted,0,1660964.0474436812,n log2 n,2018053.4062649268,2.4385452570353337e-06,2.030784709303174
many_duplicates,Quick Sort,100,0.004977,5295.0,Many Duplicates,0,664.3856189774724,n log2 n,647.8502585632034,7.4911314420981725e-06,8.173184976020854
many_duplicates,Quick Sort,1000,0.055414,63521.0,Many Duplicates,0,9965.784284662088,n log2 n,10985.912662821787,5.560425393241284e-06,5.782041233129948
many_duplicates,Quick Sort,10000,0.787152,712879.0,Many Duplicates,0,132877.1237954945,n log2 n,155771.69593295906,5.923909078672353e-06,4.576434735016357
many_duplicates,Quick Sort,100000,8.94842,7948493.0,Many Duplicates,0,1660964.0474436812,n log2 n,2018053.4062649268,5.387485667598965e-06,3.938693086775789
random,Counting Sort,100,0.000912,501.0,Random,100,200.0,n + k,200.0,4.56e-06,2.505
random,Counting Sort,1000,0.004243,5001.0,Random,1000,2000.0,n + k,2000.0,2.1215e-06,2.5005
random,Counting Sort,10000,0.095392,50001.0,Random,10000,20000.0,n + k,20000.0,4.7696e-06,2.50005
random,Counting Sort,100000,0.873323,499998.0,Random,100000,200000.0,n + k,200000.0,4.366615e-06,2.49999
reverse,Counting Sort,100,0.000616,501.0,Reversed,100,200.0,n + k,200.0,3.08e-06,2.505
reverse,Counting Sort,1000,0.003556,5001.0,Reversed,1000,2000.0,n + k,2000.0,1.7780000000000002e-06,2.5005
reverse,Counting Sort,10000,0.09147,50001.0,Reversed,10000,20000.0,n + k,20000.0,4.5734999999999995e-06,2.50005
reverse,Counting Sort,100000,0.645531,500001.0,Reversed,100000,200000.0,n + k,200000.0,3.227655e-06,2.500005
nearly-sorted,Counting Sort,100,0.000701,501.0,Nearly Sorted,100,200.0,n + k,200.0,3.505e-06,2.505
nearly-sorted,Counting Sort,1000,0.00443,5001.0,Nearly Sorted,1000,2000.0,n + k,2000.0,2.215e-06,2.5005
nearly-sorted,Counting Sort,10000,0.092351,50001.0,Nearly Sorted,10000,20000.0,n + k,20000.0,4.61755e-06,2.50005
nearly-sorted,Counting Sort,100000,0.64563,500001.0,Nearly Sorted,100000,200000.0,n + k,200000.0,3.22815e-06,2.500005
many_duplicates,Counting Sort,100,0.000947,403.0,Many Duplicates,2,102.0,n + k,102.0,9.284313725490197e-06,3.950980392156863
many_duplicates,Counting Sort,1000,0.004484,4021.0,Many Duplicates,20,1020.0,n + k,1020.0,4.396078431372549e-06,3.9421568627450982
many_duplicates,Counting Sort,10000,0.035821,40201.0,Many Duplicates,200,10200.0,n + k,10200.0,3.511862745098039e-06,3.9412745098039217
many_duplicates,Counting Sort,100000,0.773004,402001.0,Many Duplicates,2000,102000.0,n + k,102000.0,7.578470588235295e-06,3.941186274509804
